id,date,price,bedrooms,bathrooms,floors,waterfront,view,condition,grade,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,log_sqft_above,log_sqft_living,log_sqft_lot,log_sqft_living15,log_sqft_lot15
7129300520,2014-10-13,221900.0,3,1,1,0,0,3,7,0,1955,0,98178,47.5112,-122.257,7.07326971745971,7.07326971745971,8.639410824140487,7.200424892944957,8.639410824140487
6414100192,2014-12-09,538000.0,3,3,2,0,0,3,7,400,1951,1991,98125,47.721000000000004,-122.319,7.682482446534506,7.851661177889265,8.887652690325586,7.432483807917119,8.94102198354136
5631500400,2015-02-25,180000.0,2,1,1,0,0,3,6,0,1933,0,98028,47.7379,-122.23299999999999,6.646390514847729,6.646390514847729,9.210340371976184,7.908387159290043,8.994916943677111
2487200875,2014-12-09,604000.0,4,3,1,0,0,5,7,910,1965,0,98136,47.5208,-122.39299999999999,6.956545443151569,7.580699752224563,8.517193191416238,7.215239978730097,8.517193191416238
1954400510,2015-02-18,510000.0,3,2,1,0,0,3,8,0,1987,0,98074,47.6168,-122.045,7.426549072397305,7.426549072397305,8.997147151515142,7.495541943884256,8.923058219545728
1321400060,2014-06-27,257500.0,3,3,2,0,0,3,7,0,1995,0,98003,47.3097,-122.32700000000001,7.44716835960004,7.44716835960004,8.827468112520654,7.71333788887187,8.827468112520654
2008000270,2015-01-15,291850.0,3,2,1,0,0,3,7,0,1963,0,98198,47.4095,-122.315,6.966024187106113,6.966024187106113,9.181014542594355,7.408530566894626,9.181014542594355
2414600126,2015-04-15,229500.0,3,1,1,0,0,3,7,730,1960,0,98146,47.5123,-122.337,6.956545443151569,7.484368643286131,8.918650278126863,7.484368643286131,9.001222992395064
3793500160,2015-03-12,323000.0,3,3,2,0,0,3,7,0,2003,0,98038,47.3684,-122.031,7.5443321080536885,7.5443321080536885,8.788745881938135,7.779048644925556,8.931948346431495
1736800520,2015-04-03,662500.0,3,3,1,0,0,3,8,1700,1965,0,98007,47.6007,-122.145,7.528331766707247,8.177515823846075,9.189729418072059,7.700747794511798,9.09661160664784
9212900260,2014-05-27,468000.0,2,1,1,0,0,4,7,300,1942,0,98115,47.69,-122.292,6.756932389247553,7.05617528410041,8.699514748210191,7.1929342212158,8.699514748210191
114101516,2014-05-28,310000.0,3,1,2,0,0,4,7,0,1927,0,98028,47.7558,-122.229,7.265429723253953,7.265429723253953,9.898525260706313,7.484368643286131,9.449121024069791
6054650070,2014-10-07,400000.0,3,2,1,0,0,4,7,0,1977,0,98074,47.6127,-122.045,7.222566018822171,7.222566018822171,9.177817180270623,7.222566018822171,9.23092700558457
1175000570,2015-03-12,530000.0,5,2,2,0,0,3,7,0,1900,0,98107,47.67,-122.39399999999999,7.501082124259871,7.501082124259871,8.48673398393153,7.215239978730097,8.48673398393153
9297300055,2015-01-24,650000.0,4,3,2,0,3,3,9,970,1979,0,98126,47.5714,-122.375,7.590852123688581,7.989560449333865,8.517193191416238,7.668561108015897,8.294049640102028
1875500060,2014-07-31,395000.0,3,2,2,0,0,3,7,0,1994,0,98019,47.7277,-121.962,7.5443321080536885,7.5443321080536885,9.549665677579801,7.5443321080536885,9.54809749706027
6865200140,2014-05-29,485000.0,4,1,2,0,0,4,7,0,1916,0,98103,47.6648,-122.34299999999999,7.3777589082278725,7.3777589082278725,8.366370301681654,7.383989457978509,8.366370301681654
16000397,2014-12-05,189000.0,2,1,1,0,0,4,7,0,1921,0,98002,47.3089,-122.21,7.090076835776092,7.090076835776092,9.195226734166134,6.966024187106113,8.536014945656826
7983200060,2015-04-24,230000.0,3,1,1,0,0,4,7,0,1969,0,98003,47.3343,-122.306,7.1308988302963465,7.1308988302963465,9.1874810778301,7.154615356913663,9.088172738001974
